Problem,Algorithm,Solved,Time,Expanded,Generated,Cost
EASY_1,Py A*,True,0.00011348724365234375,1,1,1
EASY_1,PDDL,True,0.1580486297607422,2,4,1
EASY_2,Py A*,True,0.00031256675720214844,5,2,3
EASY_2,PDDL,True,0.15430402755737305,5,8,3
EASY_3,Py A*,True,0.00014257431030273438,2,1,2
EASY_3,PDDL,True,0.23042631149291992,3,5,2
EASY_4,Py A*,True,0.08279156684875488,99,352,13
EASY_4,PDDL,True,1.564150094985962,4790,26626,13
DOABLE_1,Py A*,True,0.8273622989654541,837,1067,12
DOABLE_1,PDDL,True,1.5137348175048828,3396,20325,12
DOABLE_2,Py A*,True,2.1363844871520996,1396,1641,13
DOABLE_2,PDDL,True,1.5681819915771484,4333,25489,13
DOABLE_3,Py A*,True,34.08637976646423,4044,5221,16
DOABLE_3,PDDL,True,28.107171535491943,22117,123582,16
DOABLE_4,Py A*,True,8.155261516571045,2020,3109,16
DOABLE_4,PDDL,True,29.15127921104431,23324,135361,16
DOABLE_5,Py A*,True,122.64528012275696,7097,8666,17
DOABLE_5,PDDL,True,32.630664587020874,32991,180134,17
